ID,Height,Gender,Weight,GymTime
1,181,1,80,180
2,163,2,52,60
3,176,2,56,30
4,175,1,75,90
5,181,1,66,200
6,160,2,45,30
7,175,1,61,150
8,183,1,73,75
9,167,2,57,150
10,171,2,51,420
11,172,1,73,600
12,174,1,82,120
13,180,1,70,120
14,172,1,70,60
15,175,1,80,200
16,168,2,48,100
17,184,1,70,0
18,178,1,78,300
19,156,2,50,300
20,169,1,60,60
21,185,1,72,3
22,180,1,60,120
23,180,1,65,120
24,185,1,68,150
25,154,2,44,120
26,188,1,65,200
27,164,2,50,90
28,178,1,60,60
29,165,2,49,400
30,183,1,63,100
31,167,1,60,300
32,174,2,59,420
33,170,1,75,150
34,179,1,53,40
35,167,2,60,120
36,174,1,70,120
37,177,1,61,20
38,169,2,52,60
39,164,2,62,45
